Primary Date,trans ID,from team,to team
20011211,63365,NYN,CLE
20011211,63365,NYN,CLE
20011211,63366,SEA,SDN
20011211,63366,SEA,SDN
20011211,63366,SEA,SDN
20011211,63366,SEA,SDN
20011211,63366,SDN,SEA
20011211,63366,SDN,SEA
20011211,63366,SDN,SEA
20011211,63367,MIA,CHN
20011211,63367,CHN,MIA
20011211,63368,DET,CIN
20011211,63368,DET,CIN
20011211,63368,CIN,DET
20011212,63369,TEX,BOS
20011212,63369,BOS,TEX
20011213,63357,NYN,DET
20011213,63364,CHN,TOR
20011213,63365,NYN,CLE
20011213,63365,NYN,CLE
20011213,63370,TOR,LAN
20011213,63370,TOR,LAN
20011213,63370,LAN,TOR
20011213,63370,LAN,TOR
20011213,63371,BAL,PHI
20011213,63371,PHI,BAL
20011213,63372,CHA,PIT
20011213,63372,CHA,PIT
20011213,63372,CHA,PIT
20011213,63372,PIT,CHA
20011213,63372,PIT,CHA
20011213,63373,NYA,SFN
20011213,63373,SFN,NYA
20011214,63374,OAK,NYN
20011214,63374,OAK,NYN
20011214,63374,NYN,OAK
20011215,63375,BOS,SLN
20011215,63375,BOS,SLN
20011215,63375,BOS,SLN
20011215,63375,SLN,BOS
20011216,63376,SEA,COL
20011216,63376,SEA,COL
20011216,63376,SEA,COL
20011216,63376,COL,SEA
20011216,63377,NYN,SFN
20011216,63377,NYN,SFN
20011216,63377,SFN,NYN
20011217,63361,TEX,CHA
20011217,63378,TBA,ANA
20011217,63378,ANA,TBA
20011218,63379,NYA,SDN
20011218,63379,SDN,NYA
20011218,63380,TEX,CLE
20011218,63380,CLE,TEX
20011218,63381,CIN,COL
20011218,63381,CIN,COL
20011218,63381,COL,CIN
20011218,63381,COL,CIN
20011219,63382,CHN,KCA
20011219,63383,BOS,COL
20011219,63383,COL,BOS
20011220,63384,PIT,CIN
20011220,63384,CIN,PIT
20011222,63385,CLE,LAN
20011222,63385,LAN,CLE
20011222,63385,LAN,CLE
20011227,63354,COL,NYN
20011227,63386,ANA,NYN
20011227,63386,NYN,ANA
20020102,63387,TOR,OAK
20020102,63387,OAK,TOR
20020107,63388,COL,ARI
20020107,63388,ARI,COL
20020107,63388,ARI,COL
20020114,63389,OAK,TEX
20020114,63389,OAK,TEX
20020114,63389,OAK,TEX
20020114,63389,OAK,TEX
20020114,63389,TEX,OAK
20020114,63389,TEX,OAK
20020115,63390,LAN,ATL
20020115,63390,ATL,LAN
20020115,63390,ATL,LAN
20020115,63390,ATL,LAN
20020117,63391,ANA,TOR
20020117,63391,TOR,ANA
20020118,63392,SEA,ATL
20020118,63392,ATL,SEA
20020121,63393,NYN,COL
20020121,63393,MIL,NYN
20020121,63393,COL,MIL
20020121,63393,COL,NYN
20020121,63393,COL,NYN
20020121,63393,NYN,COL
20020121,63393,NYN,MIL
20020121,63393,NYN,COL
20020121,63393,NYN,MIL
20020121,63393,MIL,NYN
20020121,63393,MIL,NYN
20020121,63393,MIL,NYN
20020121,63393,MIL,NYN
20020125,63394,SFN,SEA
20020125,63394,SEA,SFN
20020125,63394,SFN,SEA
20020129,63395,BAL,CHA
20020129,63395,CHA,BAL
20020221,63396,COL,NYN
20020221,63396,NYN,COL
20020312,63397,WAS,HOU
20020312,63397,HOU,WAS
20020315,63382,KCA,CHN
20020319,63398,TEX,OAK
20020319,63398,OAK,TEX
20020319,63399,SDN,CHN
20020319,63399,CHN,SDN
20020320,63400,ATL,MIL
20020320,63400,ATL,MIL
20020320,63400,MIL,ATL
20020323,63401,LAN,WAS
20020323,63401,LAN,WAS
20020323,63401,WAS,LAN
20020323,63401,WAS,LAN
20020324,63402,MIL,TEX
20020324,63402,TEX,MIL
20020324,63403,SDN,MIL
20020324,63403,MIL,SDN
20020324,63404,NYN,WAS
20020324,63404,WAS,NYN
20020324,63404,WAS,NYN
20020324,63405,DET,SDN
20020324,63405,DET,SDN
20020324,63405,SDN,DET
20020324,63405,SDN,DET
20020325,63406,DET,COL
20020325,63406,DET,COL
20020325,63406,COL,DET
20020327,63407,MIA,CHN
20020327,63407,MIA,CHN
20020327,63407,CHN,MIA
20020327,63407,CHN,MIA
20020327,63407,CHN,MIA
20020327,63407,CHN,MIA
20020327,63408,PIT,CHA
20020327,63408,PIT,CHA
20020327,63408,CHA,PIT
20020328,63409,ATL,CLE
20020328,63410,PHI,CIN
20020330,63410,CIN,PHI
20020403,63411,BAL,NYN
20020403,63411,NYN,BAL
20020403,63412,TEX,SDN
20020403,63412,SDN,TEX
20020403,63413,CLE,PHI
20020404,63414,TEX,CLE
20020404,63414,CLE,TEX
20020405,63415,WAS,NYN
20020405,63415,WAS,NYN
20020405,63415,WAS,NYN
20020405,63415,NYN,WAS
20020405,63415,NYN,WAS
20020405,63415,NYN,WAS
20020409,63416,ATL,TEX
20020409,63416,TEX,ATL
20020516,63417,DET,WAS
20020516,63417,WAS,DET
20020517,63418,KCA,COL
20020517,63418,COL,KCA
20020522,63419,OAK,PHI
20020522,63419,PHI,OAK
20020526,63420,TOR,PHI
20020526,63420,PHI,TOR
20020607,63421,CLE,CIN
20020607,63421,CIN,CLE
20020609,63422,MIL,CHN
20020609,63422,CHN,MIL
20020611,63423,MIN,SLN
20020614,63424,CIN,WAS
20020614,63424,WAS,CIN
20020619,63425,DET,ATL
20020619,63425,ATL,DET
20020620,63423,SLN,MIN
20020623,63426,SDN,BOS
20020623,63426,SDN,BOS
20020623,63426,BOS,SDN
20020623,63426,BOS,SDN
20020625,63427,PHI,CLE
20020625,63427,CLE,PHI
20020627,63428,CLE,WAS
20020627,63428,CLE,WAS
20020627,63428,WAS,CLE
20020627,63428,WAS,CLE
20020627,63428,WAS,CLE
20020627,63428,WAS,CLE
20020701,63429,NYA,TOR
20020701,63429,TOR,NYA
20020705,63430,DET,OAK
20020705,63430,OAK,DET
20020705,63430,OAK,DET
20020705,63430,NYA,OAK
20020705,63430,NYA,OAK
20020705,63430,NYA,OAK
20020705,63430,DET,NYA
20020706,63431,PIT,ARI
20020706,63431,ARI,PIT
20020711,63432,CLE,SLN
20020711,63432,SLN,CLE
20020711,63433,MIA,CIN
20020711,63433,CIN,MIA
20020711,63433,CIN,MIA
20020711,63433,CIN,MIA
20020711,63434,MIA,WAS
20020711,63434,MIA,WAS
20020711,63434,MIA,WAS
20020711,63434,MIA,WAS
20020711,63434,WAS,MIA
20020711,63434,WAS,MIA
20020711,63434,WAS,MIA
20020711,63434,WAS,MIA
20020712,63435,SDN,MIN
20020712,63435,MIN,SDN
20020712,63436,SDN,CHA
20020712,63436,CHA,SDN
20020712,63436,CHA,SDN
20020716,63415,NYN,WAS
20020719,63437,CLE,SLN
20020719,63437,SLN,CLE
20020722,63438,LAN,CLE
20020722,63438,CLE,LAN
20020723,63439,LAN,MIL
20020723,63439,LAN,MIL
20020723,63439,MIL,LAN
20020723,63440,DET,CIN
20020723,63440,DET,CIN
20020723,63440,DET,CIN
20020723,63440,CIN,DET
20020725,63441,CHA,OAK
20020725,63441,OAK,CHA
20020725,63441,CHA,OAK
20020725,63442,LAN,DET
20020725,63442,DET,LAN
20020728,63443,CHA,SFN
20020728,63443,SFN,CHA
20020728,63443,SFN,CHA
20020728,63444,CLE,LAN
20020728,63444,LAN,CLE
20020728,63444,LAN,CLE
20020728,63444,LAN,CLE
